"","s","prob","lower","upper"
"1",0,0,2.22044604925031e-16,0
"2",0.01,0.0163383785465986,0.0126032027926776,0.0223416368246547
"3",0.02,0.0325066431976904,0.0251462839337068,0.0442856117910871
"4",0.03,0.0485063243460094,0.0376294937303223,0.0658379195448145
"5",0.04,0.0643389415501124,0.0500530816404486,0.0870044889024186
"6",0.05,0.0800060035719274,0.0624172962744816,0.107791182948125
"7",0.06,0.0955090084148115,0.0747223853970782,0.128203799151694
"8",0.07,0.110849443362115,0.0869685959289437,0.148248069506822
"9",0.08,0.126028785016222,0.099156173948628,0.167929660689295
"10",0.09,0.141048499338063,0.111285364694324,0.187254174234132
"11",0.1,0.155910041687093,0.123356412565666,0.206227146730994
"12",0.11,0.170614856861699,0.135369561125535,0.224854050037146
"13",0.12,0.185164379140048,0.147325053101867,0.243140291507274
"14",0.13,0.199560032321346,0.159223130389461,0.261091214239475
"15",0.14,0.213803229767508,0.171064034051798,0.278712097336782
"16",0.15,0.22789537444521,0.18284800432285,0.29600815618355
"17",0.16,0.241837858968325,0.194575280608907,0.312984542736104
"18",0.17,0.255632065640729,0.206246101490394,0.329646345827035
"19",0.18,0.269279366499452,0.217860704723699,0.345998591482538
"20",0.19,0.282781123358181,0.229419327243002,0.362046243252232
"21",0.2,0.296138687851083,0.240922205162101,0.377794202550888
"22",0.21,0.309353401476963,0.252369573776252,0.393247309011533
"23",0.22,0.322426595643712,0.263761667564,0.408410340849378
"24",0.23,0.335359591713067,0.275098720189021,0.423288015236075
"25",0.24,0.348153701045645,0.286380964501957,0.437884988683785
"26",0.25,0.360810225046259,0.297608632542267,0.452205857438579
"27",0.26,0.373330455209498,0.308781955540066,0.466255157882679
"28",0.27,0.385715673165555,0.319901163917976,0.480037366945106
"29",0.28,0.397967150726308,0.330966487292977,0.493556902520253
"30",0.29,0.410086149931625,0.341978154478255,0.506818123893976
"31",0.3,0.422073923095902,0.35293639348506,0.519825332176754
"32",0.31,0.433931712854806,0.36384143152456,0.53258277074353
"33",0.32,0.445660752212228,0.374693495009702,0.545094625679814
"34",0.33,0.457262264587428,0.385492809557066,0.557365026233666
"35",0.34,0.46873746386237,0.396239599988733,0.569398045273189
"36",0.35,0.480087554429228,0.406934090334146,0.581197699749157
"37",0.36,0.491313731238061,0.417576503831975,0.592767951162427
"38",0.37,0.50241717984465,0.428167062931985,0.604112706035794
"39",0.38,0.513399076458482,0.438705989296903,0.615235816389942
"40",0.39,0.524260587990875,0.449193503804289,0.62614108022319
"41",0.4,0.535002872103242,0.459629826548409,0.636832241994696
"42",0.41,0.545627077255471,0.470015176842105,0.647312993110829
