"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121458","HS1402_A","HK_6","HS1402_A.1.1.HK6.fastq.gz","HS1402_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1402_A.1.1.fastq","./data/raw/HK_6/HS1402_A.2.1.fastq"
"2","SRR6121456","HS1401_A","HK_6","HS1401_A.1.1.HK6.fastq.gz","HS1401_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1401_A.1.1.fastq","./data/raw/HK_6/HS1401_A.2.1.fastq"
"3","SRR6121455","HS1394_B","HK_6","HS1394_B.1.1.HK6.fastq.gz","HS1394_B.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1394_B.1.1.fastq","./data/raw/HK_6/HS1394_B.2.1.fastq"
"4","SRR6121454","HS1393_B","HK_6","HS1393_B.1.1.HK6.fastq.gz","HS1393_B.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1393_B.1.1.fastq","./data/raw/HK_6/HS1393_B.2.1.fastq"
"5","SRR6121453","HS1392_A","HK_6","HS1392_A.1.1.HK6.fastq.gz","HS1392_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1392_A.1.1.fastq","./data/raw/HK_6/HS1392_A.2.1.fastq"
"6","SRR6121452","HS1391_B","HK_6","HS1391_B.1.1.HK6.fastq.gz","HS1391_B.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1391_B.1.1.fastq","./data/raw/HK_6/HS1391_B.2.1.fastq"
"7","SRR6121450","HS1405_B","HK_6","HS1405_B.1.1.HK6.fastq.gz","HS1405_B.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1405_B.1.1.fastq","./data/raw/HK_6/HS1405_B.2.1.fastq"
"8","SRR6121418","HS1455_A","HK_6","HS1455_A.1.1.HK6.fastq.gz","HS1455_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1455_A.1.1.fastq","./data/raw/HK_6/HS1455_A.2.1.fastq"
"9","SRR6121416","HS1445_B","HK_6","HS1445_B.1.1.HK6.fastq.gz","HS1445_B.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1445_B.1.1.fastq","./data/raw/HK_6/HS1445_B.2.1.fastq"
"10","SRR6121415","HS1448_A","HK_6","HS1448_A.1.1.HK6.fastq.gz","HS1448_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1448_A.1.1.fastq","./data/raw/HK_6/HS1448_A.2.1.fastq"
"11","SRR6121413","HS1450_A","HK_6","HS1450_A.1.1.HK6.fastq.gz","HS1450_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1450_A.1.1.fastq","./data/raw/HK_6/HS1450_A.2.1.fastq"
"12","SRR6121412","HS1425_A","HK_6","HS1425_A.1.1.HK6.fastq.gz","HS1425_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1425_A.1.1.fastq","./data/raw/HK_6/HS1425_A.2.1.fastq"
"13","SRR6121410","HS1427_A","HK_6","HS1427_A.1.1.HK6.fastq.gz","HS1427_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1427_A.1.1.fastq","./data/raw/HK_6/HS1427_A.2.1.fastq"
"14","SRR6121301","HS1421_A","HK_6","HS1421_A.1.1.HK6.fastq.gz","HS1421_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1421_A.1.1.fastq","./data/raw/HK_6/HS1421_A.2.1.fastq"
"15","SRR6121298","HS1409_A","HK_6","HS1409_A.1.1.HK6.fastq.gz","HS1409_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1409_A.1.1.fastq","./data/raw/HK_6/HS1409_A.2.1.fastq"
"16","SRR6121297","HS1408_B","HK_6","HS1408_B.1.1.HK6.fastq.gz","HS1408_B.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1408_B.1.1.fastq","./data/raw/HK_6/HS1408_B.2.1.fastq"
"17","SRR6121295","HS1417_A","HK_6","HS1417_A.1.1.HK6.fastq.gz","HS1417_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1417_A.1.1.fastq","./data/raw/HK_6/HS1417_A.2.1.fastq"
"18","SRR6121293","HS1416_A","HK_6","HS1416_A.1.1.HK6.fastq.gz","HS1416_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1416_A.1.1.fastq","./data/raw/HK_6/HS1416_A.2.1.fastq"
"19","SRR6121284","HS1256_A","HK_6","HS1256_A.1.1.HK6.fastq.gz","HS1256_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1256_A.1.1.fastq","./data/raw/HK_6/HS1256_A.2.1.fastq"
"20","SRR6121281","HS1250_A","HK_6","HS1250_A.1.1.HK6.fastq.gz","HS1250_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1250_A.1.1.fastq","./data/raw/HK_6/HS1250_A.2.1.fastq"
"21","SRR6121282","HS1253_A","HK_6","HS1253_A.1.1.HK6.fastq.gz","HS1253_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1253_A.1.1.fastq","./data/raw/HK_6/HS1253_A.2.1.fastq"
"22","SRR6121283","HS1255_A","HK_6","HS1255_A.1.1.HK6.fastq.gz","HS1255_A.2.1.HK6.fastq.gz","./data/raw/HK_6/HS1255_A.1.1.fastq","./data/raw/HK_6/HS1255_A.2.1.fastq"
