"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121405","MH7505_A","HK_7","MH7505_A.1.1.HK7.fastq.gz","MH7505_A.2.1.HK7.fastq.gz","./data/raw/HK_7/MH7505_A.1.1.fastq","./data/raw/HK_7/MH7505_A.2.1.fastq"
"2","SRR6121389","HS1525_A","HK_7","HS1525_A.1.1.HK7.fastq.gz","HS1525_A.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1525_A.1.1.fastq","./data/raw/HK_7/HS1525_A.2.1.fastq"
"3","SRR6121388","HS1520_B","HK_7","HS1520_B.1.1.HK7.fastq.gz","HS1520_B.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1520_B.1.1.fastq","./data/raw/HK_7/HS1520_B.2.1.fastq"
"4","SRR6121386","HS1519_A","HK_7","HS1519_A.1.1.HK7.fastq.gz","HS1519_A.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1519_A.1.1.fastq","./data/raw/HK_7/HS1519_A.2.1.fastq"
"5","SRR6121384","HS1518_A","HK_7","HS1518_A.1.1.HK7.fastq.gz","HS1518_A.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1518_A.1.1.fastq","./data/raw/HK_7/HS1518_A.2.1.fastq"
"6","SRR6121383","HS1517_B","HK_7","HS1517_B.1.1.HK7.fastq.gz","HS1517_B.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1517_B.1.1.fastq","./data/raw/HK_7/HS1517_B.2.1.fastq"
"7","SRR6121269","HS1516_A","HK_7","HS1516_A.1.1.HK7.fastq.gz","HS1516_A.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1516_A.1.1.fastq","./data/raw/HK_7/HS1516_A.2.1.fastq"
"8","SRR6121381","HS1530_A","HK_7","HS1530_A.1.1.HK7.fastq.gz","HS1530_A.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1530_A.1.1.fastq","./data/raw/HK_7/HS1530_A.2.1.fastq"
"9","SRR6121359","HS1604_A","HK_7","HS1604_A.1.1.HK7.fastq.gz","HS1604_A.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1604_A.1.1.fastq","./data/raw/HK_7/HS1604_A.2.1.fastq"
"10","SRR6121347","HS1567_A","HK_7","HS1567_A.1.1.HK7.fastq.gz","HS1567_A.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1567_A.1.1.fastq","./data/raw/HK_7/HS1567_A.2.1.fastq"
"11","SRR6121345","HS1535_A","HK_7","HS1535_A.1.1.HK7.fastq.gz","HS1535_A.2.1.HK7.fastq.gz","./data/raw/HK_7/HS1535_A.1.1.fastq","./data/raw/HK_7/HS1535_A.2.1.fastq"
"12","SRR6121334","MH7520_A","HK_7","MH7520_A.1.1.HK7.fastq.gz","MH7520_A.2.1.HK7.fastq.gz","./data/raw/HK_7/MH7520_A.1.1.fastq","./data/raw/HK_7/MH7520_A.2.1.fastq"
