"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121449","HS1402_B","HK_1","HS1402_B.1.1.HK1.fastq.gz","HS1402_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1402_B.1.1.fastq","./data/raw/HK_1/HS1402_B.2.1.fastq"
"2","SRR6121417","HS1455_B","HK_1","HS1455_B.1.1.HK1.fastq.gz","HS1455_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1455_B.1.1.fastq","./data/raw/HK_1/HS1455_B.2.1.fastq"
"3","SRR6121414","HS1448_B","HK_1","HS1448_B.1.1.HK1.fastq.gz","HS1448_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1448_B.1.1.fastq","./data/raw/HK_1/HS1448_B.2.1.fastq"
"4","SRR6121411","HS1425_B","HK_1","HS1425_B.1.1.HK1.fastq.gz","HS1425_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1425_B.1.1.fastq","./data/raw/HK_1/HS1425_B.2.1.fastq"
"5","SRR6121409","HS1427_B","HK_1","HS1427_B.1.1.HK1.fastq.gz","HS1427_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1427_B.1.1.fastq","./data/raw/HK_1/HS1427_B.2.1.fastq"
"6","SRR6121407","MH9045_A","HK_1","MH9045_A.1.1.HK1.fastq.gz","MH9045_A.2.1.HK1.fastq.gz","./data/raw/HK_1/MH9045_A.1.1.fastq","./data/raw/HK_1/MH9045_A.2.1.fastq"
"7","SRR6121380","HS1525_B","HK_1","HS1525_B.1.1.HK1.fastq.gz","HS1525_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1525_B.1.1.fastq","./data/raw/HK_1/HS1525_B.2.1.fastq"
"8","SRR6121387","HS1519_B","HK_1","HS1519_B.1.1.HK1.fastq.gz","HS1519_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1519_B.1.1.fastq","./data/raw/HK_1/HS1519_B.2.1.fastq"
"9","SRR6121385","HS1518_B","HK_1","HS1518_B.1.1.HK1.fastq.gz","HS1518_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1518_B.1.1.fastq","./data/raw/HK_1/HS1518_B.2.1.fastq"
"10","SRR6121382","HS1516_B","HK_1","HS1516_B.1.1.HK1.fastq.gz","HS1516_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1516_B.1.1.fastq","./data/raw/HK_1/HS1516_B.2.1.fastq"
"11","SRR6121622","HS1530_B","HK_1","HS1530_B.1.1.HK1.fastq.gz","HS1530_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1530_B.1.1.fastq","./data/raw/HK_1/HS1530_B.2.1.fastq"
"12","SRR6121375","MH8586_A","HK_1","MH8586_A.1.1.HK1.fastq.gz","MH8586_A.2.1.HK1.fastq.gz","./data/raw/HK_1/MH8586_A.1.1.fastq","./data/raw/HK_1/MH8586_A.2.1.fastq"
"13","SRR6121346","HS1567_B","HK_1","HS1567_B.1.1.HK1.fastq.gz","HS1567_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1567_B.1.1.fastq","./data/raw/HK_1/HS1567_B.2.1.fastq"
"14","SRR6121488","HS1535_B","HK_1","HS1535_B.1.1.HK1.fastq.gz","HS1535_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1535_B.1.1.fastq","./data/raw/HK_1/HS1535_B.2.1.fastq"
"15","SRR6121307","HS1579_B","HK_1","HS1579_B.1.1.HK1.fastq.gz","HS1579_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1579_B.1.1.fastq","./data/raw/HK_1/HS1579_B.2.1.fastq"
"16","SRR6121305","HS1573_B","HK_1","HS1573_B.1.1.HK1.fastq.gz","HS1573_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1573_B.1.1.fastq","./data/raw/HK_1/HS1573_B.2.1.fastq"
"17","SRR6121302","HS1421_B","HK_1","HS1421_B.1.1.HK1.fastq.gz","HS1421_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1421_B.1.1.fastq","./data/raw/HK_1/HS1421_B.2.1.fastq"
"18","SRR6121299","HS1409_B","HK_1","HS1409_B.1.1.HK1.fastq.gz","HS1409_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1409_B.1.1.fastq","./data/raw/HK_1/HS1409_B.2.1.fastq"
"19","SRR6121296","HS1417_B","HK_1","HS1417_B.1.1.HK1.fastq.gz","HS1417_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1417_B.1.1.fastq","./data/raw/HK_1/HS1417_B.2.1.fastq"
"20","SRR6121294","HS1416_B","HK_1","HS1416_B.1.1.HK1.fastq.gz","HS1416_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1416_B.1.1.fastq","./data/raw/HK_1/HS1416_B.2.1.fastq"
"21","SRR6121277","HS1487_B","HK_1","HS1487_B.1.1.HK1.fastq.gz","HS1487_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1487_B.1.1.fastq","./data/raw/HK_1/HS1487_B.2.1.fastq"
"22","SRR6121628","HS1294_B","HK_1","HS1294_B.1.1.HK1.fastq.gz","HS1294_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1294_B.1.1.fastq","./data/raw/HK_1/HS1294_B.2.1.fastq"
"23","SRR6121275","HS1484_B","HK_1","HS1484_B.1.1.HK1.fastq.gz","HS1484_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1484_B.1.1.fastq","./data/raw/HK_1/HS1484_B.2.1.fastq"
"24","SRR6121221","PC1A","HK_1","PC1A.1.1.HK1.fastq.gz","PC1A.2.1.HK1.fastq.gz","./data/raw/HK_1/PC1A.1.1.fastq","./data/raw/HK_1/PC1A.2.1.fastq"
"25","SRR6121220","HS1536_B","HK_1","HS1536_B.1.1.HK1.fastq.gz","HS1536_B.2.1.HK1.fastq.gz","./data/raw/HK_1/HS1536_B.1.1.fastq","./data/raw/HK_1/HS1536_B.2.1.fastq"
