"","sra_accession","sample","run","sra_fastq1","sra_fastq2","fastq1","fastq2"
"1","SRR6121451","HS1390_A","HK_8","HS1390_A.1.1.HK8.fastq.gz","HS1390_A.2.1.HK8.fastq.gz","./data/raw/HK_8/HS1390_A.1.1.fastq","./data/raw/HK_8/HS1390_A.2.1.fastq"
"2","SRR6121419","MH8160_A","HK_8","MH8160_A.1.1.HK8.fastq.gz","MH8160_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8160_A.1.1.fastq","./data/raw/HK_8/MH8160_A.2.1.fastq"
"3","SRR6121427","MH8165_A","HK_8","MH8165_A.1.1.HK8.fastq.gz","MH8165_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8165_A.1.1.fastq","./data/raw/HK_8/MH8165_A.2.1.fastq"
"4","SRR6121426","MH8155_B","HK_8","MH8155_B.1.1.HK8.fastq.gz","MH8155_B.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8155_B.1.1.fastq","./data/raw/HK_8/MH8155_B.2.1.fastq"
"5","SRR6121425","MH8156_A","HK_8","MH8156_A.1.1.HK8.fastq.gz","MH8156_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8156_A.1.1.fastq","./data/raw/HK_8/MH8156_A.2.1.fastq"
"6","SRR6121423","MH8158_A","HK_8","MH8158_A.1.1.HK8.fastq.gz","MH8158_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8158_A.1.1.fastq","./data/raw/HK_8/MH8158_A.2.1.fastq"
"7","SRR6121421","MH8159_A","HK_8","MH8159_A.1.1.HK8.fastq.gz","MH8159_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8159_A.1.1.fastq","./data/raw/HK_8/MH8159_A.2.1.fastq"
"8","SRR6121368","MH8424_B","HK_8","MH8424_B.1.1.HK8.fastq.gz","MH8424_B.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8424_B.1.1.fastq","./data/raw/HK_8/MH8424_B.2.1.fastq"
"9","SRR6121480","MH8396_A","HK_8","MH8396_A.1.1.HK8.fastq.gz","MH8396_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8396_A.1.1.fastq","./data/raw/HK_8/MH8396_A.2.1.fastq"
"10","SRR6121365","MH8439_A","HK_8","MH8439_A.1.1.HK8.fastq.gz","MH8439_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8439_A.1.1.fastq","./data/raw/HK_8/MH8439_A.2.1.fastq"
"11","SRR6121364","MH8445_B","HK_8","MH8445_B.1.1.HK8.fastq.gz","MH8445_B.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8445_B.1.1.fastq","./data/raw/HK_8/MH8445_B.2.1.fastq"
"12","SRR6121363","MH8442_B","HK_8","MH8442_B.1.1.HK8.fastq.gz","MH8442_B.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8442_B.1.1.fastq","./data/raw/HK_8/MH8442_B.2.1.fastq"
"13","SRR6121361","MH8447_A","HK_8","MH8447_A.1.1.HK8.fastq.gz","MH8447_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8447_A.1.1.fastq","./data/raw/HK_8/MH8447_A.2.1.fastq"
"14","SRR6121356","MH7884_A","HK_8","MH7884_A.1.1.HK8.fastq.gz","MH7884_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH7884_A.1.1.fastq","./data/raw/HK_8/MH7884_A.2.1.fastq"
"15","SRR6121355","MH7852_B","HK_8","MH7852_B.1.1.HK8.fastq.gz","MH7852_B.2.1.HK8.fastq.gz","./data/raw/HK_8/MH7852_B.1.1.fastq","./data/raw/HK_8/MH7852_B.2.1.fastq"
"16","SRR6121352","MH7860_A","HK_8","MH7860_A.1.1.HK8.fastq.gz","MH7860_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH7860_A.1.1.fastq","./data/raw/HK_8/MH7860_A.2.1.fastq"
"17","SRR6121354","MH7855_A","HK_8","MH7855_A.1.1.HK8.fastq.gz","MH7855_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH7855_A.1.1.fastq","./data/raw/HK_8/MH7855_A.2.1.fastq"
"18","SRR6121351","MH7845_A","HK_8","MH7845_A.1.1.HK8.fastq.gz","MH7845_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH7845_A.1.1.fastq","./data/raw/HK_8/MH7845_A.2.1.fastq"
"19","SRR6121349","MH7851_A","HK_8","MH7851_A.1.1.HK8.fastq.gz","MH7851_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH7851_A.1.1.fastq","./data/raw/HK_8/MH7851_A.2.1.fastq"
"20","SRR6121316","MH8308_A","HK_8","MH8308_A.1.1.HK8.fastq.gz","MH8308_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8308_A.1.1.fastq","./data/raw/HK_8/MH8308_A.2.1.fastq"
"21","SRR6121318","MH8309_A","HK_8","MH8309_A.1.1.HK8.fastq.gz","MH8309_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8309_A.1.1.fastq","./data/raw/HK_8/MH8309_A.2.1.fastq"
"22","SRR6121314","MH8186_A","HK_8","MH8186_A.1.1.HK8.fastq.gz","MH8186_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8186_A.1.1.fastq","./data/raw/HK_8/MH8186_A.2.1.fastq"
"23","SRR6121312","MH8183_A","HK_8","MH8183_A.1.1.HK8.fastq.gz","MH8183_A.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8183_A.1.1.fastq","./data/raw/HK_8/MH8183_A.2.1.fastq"
"24","SRR6121304","MH8354_B","HK_8","MH8354_B.1.1.HK8.fastq.gz","MH8354_B.2.1.HK8.fastq.gz","./data/raw/HK_8/MH8354_B.1.1.fastq","./data/raw/HK_8/MH8354_B.2.1.fastq"
